name	emp_pred	emo	val_pred	val	sentence
sample_00005835	worried	worried	-1.4037886	-2.0	我现在是觉得，呀，妈，肯定挺难受的，光是我离婚的事。
sample_00000154	neutral	neutral	-0.048137963	0.0	我们是从镇上来的，我们是警察。
sample_00004194	angry	angry	-1.0528181	-1.25	别管我了，你知道干净现在在哪儿吗？
sample_00001395	angry	angry	-3.6648347	-3.25	你变态啊！你怎么想的？
sample_00002591	worried	worried	-1.6529655	-1.75	那怎么办？
sample_00003258	neutral	neutral	0.06487779	0.0	那。弟兄们，尽心，尽力！其实。
sample_00005166	angry	angry	-1.1800067	-1.5	可他选的人，选的目标，错。
sample_00002772	angry	angry	-0.63434255	-1.5	你看看，你们仨像什么样？
sample_00006081	sad	sad	-1.7100213	-2.5	我问错了，我不该。
sample_00004447	angry	angry	-2.5440865	-2.0	我很：是非，分明，站在你这边，我冒着跟我妈断绝母女关系的危险，我把她数落一顿。
sample_00006536	worried	worried	-0.607087	0.0	我现在还没能确定，我的记忆很模糊，我一定会把。这个。
sample_00001655	angry	angry	-1.9534667	-2.5	回去，你不让我回去演出。
sample_00004966	neutral	neutral	-0.1287401	0.25	他：相反的，不怎么说。
sample_00001009	angry	angry	-3.3467476	-3.5	当狗，当驴，当畜生，快打！
sample_00006699	angry	angry	-1.4194219	-1.25	你打挡，目的，我正式通知你。
sample_00002325	happy	happy	1.3658564	2.25	好，你这个派理，完了，之后，我还有很多游戏可以跟你玩，今晚十个。
sample_00002598	neutral	neutral	-0.37583077	-0.75	那。以前，不觉。
sample_00003021	angry	angry	-2.4357796	-3.0	你一来，把我的生活搅得乱七八糟的，你还想怎么样？
sample_00003888	happy	happy	1.4391631	1.25	上次给您送花的那位先生。
sample_00002956	angry	angry	-1.9003735	-2.0	本来，一件旗袍，小事一桩，没必要跟你争，但是，我就看不惯你种。
sample_00001016	angry	angry	-1.9394393	-2.75	他们真是太过分了，假扮、假释，召开什么新闻发布会，来骗。
sample_00002156	happy	happy	1.6099172	1.75	这位太太，您想看什么？
sample_00006627	happy	happy	1.679521	2.25	我准备给小新一个惊喜！什么？
sample_00003367	angry	angry	-1.3509358	-2.0	我：就胡闹了，你不是老说我胆小，怕犯错误吗？我就犯一次错误。
sample_00004688	worried	worried	-1.6070681	-1.5	那，你。那干净，怎么办呀？我还想帮你们。
sample_00000423	angry	angry	-1.4605387	-1.75	行了，那以后你怎么干事？
sample_00001707	sad	sad	-2.8968961	-2.75	求求您，他第一次抢劫，就是，若白人杀了，当时，他怕的要死，不知怎么，就想这个替生的办法，让你们永远也找不到他，结果，他把你们都骗了，可自己永远也回不来。
sample_00000005	neutral	neutral	0.15318683	0.5	我，有一颗干干净净，真诚面对感情的心。
sample_00002075	happy	happy	0.6768559	1.25	我才发现，艾小天同志说话，还是很有。
sample_00004186	worried	worried	-1.4713445	-0.75	谢谢你，安慰我，但是，事实是，我今天差点失控，差点伤了。小迷。是。
sample_00005602	sad	sad	-1.2343346	-1.5	个女作家，躺在一张又破又旧的床上，那种情景，让我心里很酸楚。陈氏：过了没多久，十二月七日，戴绵阳战争爆发，越洛宾矶，讲，肖虹，弥留之际，多数时间是由她陪伴的。肖虹去世五年后，洛宾矶成了第一个写肖虹转记的。
sample_00002724	neutral	neutral	-0.7875601	0.0	他以前都是工厂工人，回来出来做买卖了。
sample_00003493	worried	worried	-0.9217322	-0.75	丹子：爸爸：他一直在跟踪。
sample_00002895	happy	happy	0.46194997	1.25	那也行，反正你有，我电。
sample_00000591	happy	happy	1.0415517	1.5	我：到您这儿来呀，就是休息。俊俊是个好孩子，不过，有些事。
sample_00001267	angry	angry	-1.8242084	-2.75	我还不知道啊，你们就怕妈拖累你。
sample_00000234	happy	happy	1.541755	1.75	武飞哥，我今天看到你助理来接你了，你今天有演出吧。
sample_00001879	neutral	neutral	-0.792439	-0.5	跟这辈子，中间，有归宿，江湖，昆能，等你十年，就这份执着。
sample_00002773	neutral	neutral	-0.055388458	0.0	买冰糖的钱，还有钢笔的钱，我都会还给你的。
sample_00006985	worried	worried	-1.0937738	-0.75	不瞎琢磨了，不瞎琢磨了，凡人：手术啊，是做了，您哪，就好好的，您好好的呀，我就不难过了。
sample_00004155	sad	sad	-0.57427955	-1.25	我还要再考一次。
sample_00006636	angry	angry	-1.7035035	-1.0	你怎么给我配个网管啊？我：不需。
sample_00000091	worried	worried	-1.363936	-0.5	可是，你对一个人什么都不了解，你怎么知道自己爱不爱。
sample_00002170	neutral	neutral	-0.3995658	-0.25	那么，一桌，他们写。
sample_00003865	neutral	neutral	-0.58235407	0.0	人群被圈入到两三个字内，比如：富、二代、官。
sample_00003624	angry	angry	-1.8968279	-2.25	但是，我告诉你，陶子，你大错特错，就那哥们儿，那孙子，那就是个人渣。
sample_00001362	happy	happy	1.106248	1.5	果果，要是有你一半，啊，我就知足了。
sample_00004333	neutral	neutral	0.016324267	0.25	那个时候，一个是球，上进是一方面。
sample_00000074	sad	sad	-0.8754631	-1.75	唉。
sample_00005892	neutral	neutral	0.544088	0.0	和各个子物司的老总一起交流。
