name	emp_pred	emo	val_pred	val	sentence
sample_00001541	angry	sad	-1.4893618	-4.5	我：今天，你又这么出现了！你：你。还跪下。
sample_00001049	neutral	happy	-0.030764207	2.5	你不是很上进。
sample_00003440	happy	sad	0.9050417	-3.5	好，很好。
sample_00005933	angry	happy	-0.77611434	2.0	你看看，你这。
sample_00001155	worried	happy	-0.8142873	1.25	爸爸，所有的人，都希望，让奶奶好，不许瞎琢磨。
sample_00000727	angry	sad	-1.7876971	-4.75	不，这，我要起！你，对不起，大家，对不起，放德方的。
sample_00007027	neutral	angry	-0.5932226	-3.25	我要上班，要工作。
sample_00004939	neutral	sad	-1.2532276	-3.5	我是最后签字的人，我就被上司给批了。
sample_00001765	angry	happy	-1.5211283	2.0	怎么了？到底，你不就是来说心里话了吗？
sample_00003883	neutral	angry	-0.41564202	-2.5	最便宜的。
sample_00000163	happy	sad	0.39308313	-2.25	现在看来，我太多余了，你已经大大方方，高高兴兴。
sample_00006909	neutral	happy	-0.6545658	1.5	大家想象的那个，经纪人，必须要承担这么多重要的责任。
sample_00003441	angry	happy	-1.9948351	1.5	你跟我吃饭呢，还能乐出来？这说明呢？你不是。很。
sample_00003761	surprise	sad	-0.48171815	-3.25	哥。
sample_00003005	neutral	happy	-0.15742701	2.75	从小讲。
sample_00002476	worried	happy	-0.779711	1.75	名字呢？只是一个代号，哪有那么多规矩啊？想怎么样？
sample_00006617	neutral	angry	0.059142753	-2.75	旱涝保收。
sample_00003454	happy	neutral	0.48798892	-1.75	一分钟，这道菜，一共。
sample_00004956	neutral	angry	-1.0437095	-3.75	我的手艺：学三只手的手艺。
sample_00001865	angry	happy	-1.8374884	2.25	看你现在这样，我就放。
sample_00006740	happy	sad	1.203747	-1.5	我把衣服给你带来了，穿上，回家吧。
sample_00005585	angry	worried	-2.233381	0.0	这件事啊，你们几个小年轻，别掺和，把嘴呢，都管严了，别到处说去。
sample_00003474	angry	sad	-1.4103359	-3.75	为什么？每次都是这样子？说走就着，说走就走？不，是，不知道，错了，阿辉，你跟我回来。
sample_00004159	angry	happy	-1.3690939	2.5	你说的，什么时候挣钱给我花了，什么时候好吃给我吃吗？
sample_00004264	worried	happy	-0.3392284	2.75	哎。
sample_00004326	happy	sad	1.1621691	-2.0	预言家：那我们就不用再见面了，如果是亲家。
sample_00005067	sad	happy	-0.8805195	2.0	我从头发丝到脚，受的尖，都嚷嚷着，想要。亲她，想要。
sample_00005681	worried	sad	-0.70632386	-3.25	回国这么长的时间，我问过你那么多次，你有那么多机会告诉我，你为什么不说呢？
sample_00003677	worried	happy	-1.4876859	1.0	怎么增加安保措施啊？给每个大夫。
sample_00005652	neutral	angry	0.20191634	-2.75	出租车司机：尿急，非要上。
sample_00002559	neutral	happy	-0.53484654	1.75	八千块，一级。
sample_00001428	happy	sad	-0.19349572	-2.5	nan
sample_00006583	worried	sad	-0.8094367	-4.5	他扶住了：那么多，啊，我：流白：都住了吧。
sample_00001905	angry	neutral	-1.2274954	1.75	陈云茹：从今天起，我要戒烟。
sample_00001025	neutral	happy	-0.38098192	2.0	我：这手头，就一点事，就完事了，然后，我就请假。
sample_00000286	happy	worried	0.5561527	-1.75	那倒不是，反正我就觉着吧，他没有刚见面的时候那么可爱。
sample_00001952	angry	happy	-1.206178	2.25	扭扭捏捏了，有什么问题？大胆地。
sample_00005771	happy	angry	-0.039589174	-2.5	够。你。我。一。
sample_00001678	happy	angry	-0.26193362	-3.0	我：今天不想跟你吵架啊！要不然，这样吧，我：看，我先回去。
sample_00002073	happy	sad	1.1617304	-1.5	今天，我过生日，给个面子，喝一口。
sample_00005233	angry	happy	-1.4152462	1.75	你妈没跟你说过。
sample_00000093	angry	happy	-2.0706491	2.0	你不是说不成，你就跳楼了吗？
sample_00005013	worried	angry	-0.92216337	-4.0	这么重要的一天，不可能让你给破。
sample_00003708	happy	sad	-0.10156721	-2.5	你。以为，你。
sample_00000416	happy	sad	-0.19349572	-3.25	nan
sample_00000350	neutral	sad	-0.5128394	-3.0	这，落，落，实子。
sample_00005184	worried	happy	-1.268	1.0	我：这下，我不能太点儿。
sample_00006934	worried	angry	-1.4740696	-4.0	最后，做了指甲，出了问题的话，谁负责？
sample_00001015	neutral	happy	0.15737483	2.25	回去，换身衣服，买两张花机票。
sample_00002364	happy	sad	-0.41940835	-2.5	志勇，对我好！张占军知道了，就说：要。
