emo	val	name	sentence
neutral	-0.5	sample_00006788	上个礼拜我和他约好一起去逛商场他说他想给他妈买个生日礼物那天他迟到了不过他总迟到我都习惯了
neutral	1.25	sample_00001645	只等等到车站接的我
neutral	0.25	sample_00003232	住着对方我可以来定不过吃了玩的都得靠你们我是个路盲
happy	2.5	sample_00006619	这还差不多
angry	-2.5	sample_00004122	别提有多难堪
neutral	-0.75	sample_00004931	哦打半架这样你对咖啡钱也
happy	2.25	sample_00004826	没事一辈子
happy	2.25	sample_00000000	我哪知道啊我我也没有这方面的经验
neutral	1.0	sample_00003445	别紧张我也是自己人
angry	-2.75	sample_00002775	有什么好解释的解释不就是
worried	-1.75	sample_00003925	和病人的关系就变成这样我真接受不了
surprise	0.75	sample_00000090	怎么今儿净说
worried	-1.25	sample_00003057	万一万一谁知道啊
sad	-1.5	sample_00002964	就靠着复信微薄的退休金勉强维持生活
angry	-2.75	sample_00003989	这个我不
neutral	1.25	sample_00004180	我真的是在赞美你其实你呀什么都不必干你才多大呀我在你这把年龄哪有你这番经历呀孩子都这么大了
angry	-1.25	sample_00004741	光想美事啊在国外一个住院总医师一天二十四小时一个星期在医院里住七天
happy	1.75	sample_00003742	可能咱们不煽情好吗都是老夫老妻了那种感谢的话
happy	2.0	sample_00006459	反正呢我觉得挺好的要是既有王老师的才华又有荆轲的钱
angry	-3.0	sample_00000716	所以八就是天下第一号傻瓜对吗
worried	-2.0	sample_00001167	那还不是我一个人又去做
happy	3.0	sample_00006330	就可以加一场这个患难见真情的希望
angry	-1.5	sample_00006780	你平时脑子不是挺灵的吗今天怎么不转
angry	-4.5	sample_00003906	他一直在跟我要我没同意
happy	1.75	sample_00003320	你这功夫我学过我
angry	-2.5	sample_00002029	我谁也不找
neutral	0.5	sample_00006860	那我到机场了三份合同的张我
happy	2.0	sample_00006474	我陪你睡
happy	2.5	sample_00006761	曾老板谢谢谢谢我知道您在美国回不来但是那我也得谢谢你的祝贺
happy	2.0	sample_00004090	哈哈哈
