emo	val	name	sentence
neutral	-0.5	sample_00006788	上个礼拜，我和他约好，一起去逛商场，他说，他想给他妈买个生日礼物。那天，他迟到了，不过，他总迟到，我都习惯了。
neutral	1.25	sample_00001645	只等，等，到车站，接的我。
neutral	0.25	sample_00003232	住着，对方：我可以来，定，不过，吃了、玩的，都得靠你们，我是个路盲。
happy	2.5	sample_00006619	这，还差不多。
angry	-2.5	sample_00004122	别提有多难堪。
neutral	-0.75	sample_00004931	哦，打半架，这样，你对。咖啡钱也。
happy	2.25	sample_00004826	没事，一辈子。
happy	2.25	sample_00000000	我：哪：知道啊！我：我：也没有这方面的经验。
neutral	1.0	sample_00003445	别紧张，我也是自己人。
angry	-2.75	sample_00002775	有什么好解释的？解释不就是。
worried	-1.75	sample_00003925	和病人的关系，就变成这样，我真接受不了。
surprise	0.75	sample_00000090	怎么？今儿净说。
worried	-1.25	sample_00003057	万一，万一，谁知道啊。
sad	-1.5	sample_00002964	就靠着复信、微薄的退休金，勉强维持生活。
angry	-2.75	sample_00003989	这个。我不。
neutral	1.25	sample_00004180	我真的是在赞美你，其实，你呀，什么都不必干，你才多大呀，我在你这把年龄，哪有你这番经历呀？孩子都这么大了。
angry	-1.25	sample_00004741	光想美事啊！在国外，一个住院总医师，一天二十四小时，一个星期，在医院里住七天。
happy	1.75	sample_00003742	可能，咱们不煽情，好吗？都是老夫老妻了，那种，感谢的话。
happy	2.0	sample_00006459	反正呢，我觉得挺好的，要是既有王老师的才华，又有荆轲的钱。
angry	-3.0	sample_00000716	所以，八，就是天下第一号，傻瓜，对吗？
worried	-2.0	sample_00001167	那还不是我一个人又去做。
happy	3.0	sample_00006330	就可以加一场，这个患难见真情的希望。
angry	-1.5	sample_00006780	你平时脑子不是挺灵的吗？今天怎么不转？
angry	-4.5	sample_00003906	他一直在跟我要，我没同意。
happy	1.75	sample_00003320	你这功夫，我学过。我。
angry	-2.5	sample_00002029	我：谁也不找。
neutral	0.5	sample_00006860	那，我到机场了，三份合同的。张：我。
